Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007254~JNK cascade	3	2.2222222222222223	0.028862670615468468	ENSMUSG00000033629, ENSMUSG00000022523, ENSMUSG00000020366	102	23	8692	11.115089514066495	0.9999999987513125	0.9999999987513125	35.70394480773078
GOTERM_BP_ALL	GO:0007254~JNK cascade	3	2.2222222222222223	0.029563739686808536	ENSMUSG00000033629, ENSMUSG00000022523, ENSMUSG00000020366	108	23	9091	10.979468599033815	0.9999999999806408	0.9999999999806408	37.01599683628846
GOTERM_BP_FAT	GO:0007610~behavior	8	5.9259259259259265	0.03141872320471527	ENSMUSG00000003934, ENSMUSG00000026915, ENSMUSG00000006818, ENSMUSG00000031748, ENSMUSG00000038248, ENSMUSG00000057880, ENSMUSG00000032186, ENSMUSG00000064329	102	260	8692	2.622021116138763	0.9999999998026448	0.9999859516805324	38.209262732607996
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	5	3.7037037037037033	0.03167226752346027	ENSMUSG00000029752, ENSMUSG00000027674, ENSMUSG00000030268, ENSMUSG00000010663, ENSMUSG00000037071	102	103	8692	4.136683799733485	0.9999999998356919	0.999452287052272	38.45274094246227
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	5	3.7037037037037033	0.03167226752346027	ENSMUSG00000029752, ENSMUSG00000027674, ENSMUSG00000030268, ENSMUSG00000010663, ENSMUSG00000037071	102	103	8692	4.136683799733485	0.9999999998356919	0.999452287052272	38.45274094246227
GOTERM_BP_ALL	GO:0046394~carboxylic acid biosynthetic process	5	3.7037037037037033	0.03302328407162634	ENSMUSG00000029752, ENSMUSG00000027674, ENSMUSG00000030268, ENSMUSG00000010663, ENSMUSG00000037071	108	103	9091	4.086209996404171	0.999999999998972	0.9999989861285966	40.38747382688763
GOTERM_BP_ALL	GO:0016053~organic acid biosynthetic process	5	3.7037037037037033	0.03302328407162634	ENSMUSG00000029752, ENSMUSG00000027674, ENSMUSG00000030268, ENSMUSG00000010663, ENSMUSG00000037071	108	103	9091	4.086209996404171	0.999999999998972	0.9999989861285966	40.38747382688763
GOTERM_BP_ALL	GO:0007610~behavior	8	5.9259259259259265	0.03347316783550361	ENSMUSG00000003934, ENSMUSG00000026915, ENSMUSG00000006818, ENSMUSG00000031748, ENSMUSG00000038248, ENSMUSG00000057880, ENSMUSG00000032186, ENSMUSG00000064329	108	260	9091	2.59002849002849	0.9999999999992988	0.9999111591396525	40.813289384061946
GOTERM_BP_FAT	GO:0031098~stress-activated protein kinase signaling pathway	3	2.2222222222222223	0.03371648263854506	ENSMUSG00000033629, ENSMUSG00000022523, ENSMUSG00000020366	102	25	8692	10.225882352941175	0.9999999999625717	0.9975265677787161	40.383325217076745
GOTERM_BP_ALL	GO:0031098~stress-activated protein kinase signaling pathway	3	2.2222222222222223	0.03452837140014996	ENSMUSG00000033629, ENSMUSG00000022523, ENSMUSG00000020366	108	25	9091	10.101111111111111	0.9999999999997143	0.9992689104789817	41.8009078976457
GOTERM_BP_FAT	GO:0007264~small GTPase mediated signal transduction	7	5.185185185185185	0.042703594897485715	ENSMUSG00000034936, ENSMUSG00000019478, ENSMUSG00000022075, ENSMUSG00000033629, ENSMUSG00000020657, ENSMUSG00000004568, ENSMUSG00000000711	102	220	8692	2.711408199643494	0.9999999999999459	0.9977792487061029	48.21923747326551
